cell_id,cell_lat,cell_lon,in_scope
434,48.4079158,1.9658365,0
435,48.4079158,1.9692445,0
436,48.4079158,1.9726526,1
437,48.4079158,1.9760606,1
438,48.4079158,1.9794686,1
439,48.4079158,1.9828767,1
440,48.4079158,1.9862847,1
441,48.4079158,1.9896927,1
442,48.4079158,1.9931008,0
443,48.4079158,1.9965088,1
444,48.4079158,1.9999168,1
445,48.4079158,2.0033249,1
446,48.4079158,2.0067329,1
447,48.4079158,2.0101409,0
448,48.4079158,2.0135490,0
449,48.4079158,2.0169570,0
450,48.4079158,2.0203650,0
451,48.4079158,2.0237731,0
452,48.4079158,2.0271811,0
453,48.4079158,2.0305891,0
454,48.4079158,2.0339972,1
455,48.4079158,2.0374052,1
456,48.4079158,2.0408132,1
457,48.4079158,2.0442213,1
458,48.4079158,2.0476293,1
459,48.4079158,2.0510373,1
460,48.4079158,2.0544453,1
461,48.4079158,2.0578534,1
462,48.4079158,2.0612614,0
463,48.4079158,2.0646694,0
464,48.4079158,2.0680775,0
465,48.4079158,2.0714855,0
466,48.4079158,2.0748935,0
467,48.4079158,2.0783016,0
468,48.4079158,2.0817096,0
469,48.4079158,2.0851176,0
470,48.4079158,2.0885257,0
471,48.4079158,2.0919337,0
472,48.4079158,2.0953417,0
473,48.4079158,2.0987498,0
474,48.4079158,2.1021578,0
475,48.4079158,2.1055658,0
476,48.4079158,2.1089739,0
477,48.4079158,2.1123819,0
478,48.4079158,2.1157899,0
479,48.4079158,2.1191980,0
480,48.4079158,2.1226060,0
481,48.4079158,2.1260140,0
482,48.4079158,2.1294221,0
483,48.4079158,2.1328301,1
484,48.4079158,2.1362381,1
485,48.4079158,2.1396462,1
486,48.4079158,2.1430542,1
487,48.4079158,2.1464622,1
488,48.4079158,2.1498702,1
489,48.4079158,2.1532783,1
490,48.4079158,2.1566863,1
491,48.4079158,2.1600943,0
492,48.4079158,2.1635024,0
493,48.4079158,2.1669104,0
494,48.4079158,2.1703184,0
495,48.4079158,2.1737265,0
496,48.4079158,2.1771345,0
497,48.4079158,2.1805425,0
498,48.4079158,2.1839506,0
499,48.4079158,2.1873586,0
500,48.4079158,2.1907666,0
501,48.4079158,2.1941747,0
502,48.4079158,2.1975827,0
503,48.4079158,2.2009907,0
504,48.4079158,2.2043988,1
505,48.4079158,2.2078068,1
506,48.4079158,2.2112148,1
507,48.4079158,2.2146229,1
508,48.4079158,2.2180309,1
509,48.4079158,2.2214389,1
510,48.4079158,2.2248470,1
511,48.4079158,2.2282550,0
512,48.4079158,2.2316630,0
513,48.4079158,2.2350711,0
514,48.4079158,2.2384791,0
515,48.4079158,2.2418871,0
516,48.4079158,2.2452952,0
517,48.4079158,2.2487032,0
518,48.4079158,2.2521112,0
519,48.4079158,2.2555192,1
520,48.4079158,2.2589273,1
521,48.4079158,2.2623353,1
522,48.4079158,2.2657433,1
523,48.4079158,2.2691514,1
524,48.4079158,2.2725594,1
525,48.4079158,2.2759674,1
526,48.4079158,2.2793755,1
527,48.4079158,2.2827835,1
528,48.4079158,2.2861915,1
529,48.4079158,2.2895996,1
530,48.4079158,2.2930076,1
531,48.4079158,2.2964156,1
532,48.4079158,2.2998237,1
533,48.4079158,2.3032317,1
534,48.4079158,2.3066397,1
535,48.4079158,2.3100478,1
536,48.4079158,2.3134558,0
537,48.4079158,2.3168638,0
538,48.4079158,2.3202719,0
539,48.4079158,2.3236799,0
540,48.4079158,2.3270879,0
541,48.4079158,2.3304960,0
542,48.4079158,2.3339040,0
543,48.4079158,2.3373120,0
544,48.4079158,2.3407201,0
545,48.4079158,2.3441281,0
546,48.4079158,2.3475361,0
547,48.4079158,2.3509441,0
548,48.4079158,2.3543522,0
549,48.4079158,2.3577602,0
550,48.4079158,2.3611682,0
551,48.4079158,2.3645763,0
552,48.4079158,2.3679843,0
553,48.4079158,2.3713923,1
554,48.4079158,2.3748004,1
555,48.4079158,2.3782084,1
556,48.4079158,2.3816164,1
557,48.4079158,2.3850245,1
558,48.4079158,2.3884325,0
559,48.4079158,2.3918405,0
